person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_income_ratio
24.0,44000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.5681689052521534
23.0,50000.0,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.499990000199996
22.0,50004.0,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.49995000499950004
22.0,50004.0,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.49995000499950004
22.0,52000.0,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.48075998538489645
23.0,13200.0,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.37497159306113176
24.0,220000.0,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.11363584710978586
23.0,216000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.09722177212142537
25.0,216000.0,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.11574020490645877
26.0,216000.0,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.09259216392516702
23.0,215000.0,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.1627899405119046
26.0,215000.0,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.05581369388979586
23.0,52000.0,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.48075998538489645
26.0,46000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.5434664463816004
22.0,53000.0,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.47168921341106773
26.0,47000.0,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.5319035765196485
23.0,47000.0,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.5319035765196485
23.0,13200.0,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.10605257177486554
21.0,13200.0,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.3408832664192107
22.0,210000.0,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.07619011338041247
26.0,210000.0,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.10476140589806715
26.0,48000.0,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.5208224828649403
23.0,55000.0,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.45453719023290484
23.0,55000.0,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.45453719023290484
24.0,55164.0,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.45318589685488986
26.0,56000.0,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.4464205996321494
24.0,203500.0,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.09827961533358559
23.0,190000.0,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.11578886426913543
23.0,13920.0,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.5567128798218519
24.0,60000.0,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.41665972233796106
24.0,60000.0,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.41665972233796106
26.0,54000.0,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.46295438973352343
24.0,200000.0,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.05999970000149999
24.0,200000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.05999970000149999
21.0,200000.0,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.07999960000199999
25.0,54000.0,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.46295438973352343
23.0,60000.0,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.41665972233796106
23.0,60000.0,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.41665972233796106
21.0,60000.0,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.41665972233796106
25.0,61959.0,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.4034861200774693
22.0,56400.0,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.44325455222425136
21.0,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.12499937500312498
24.0,200000.0,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.11999940000299998
26.0,200000.0,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.07499962500187499
25.0,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.07749961250193749
24.0,200000.0,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.049999750001249996
24.0,66000.0,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.37878213966455054
22.0,66000.0,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.37878213966455054
22.0,200000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.044999775001124995
50.0,200000.0,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,0.029999850000749995
25.0,200000.0,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.08999955000224999
25.0,200000.0,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.05999970000149999
25.0,200000.0,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.11524942375288123
26.0,66996.0,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.37315103661357973
23.0,67000.0,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.37312875927224964
24.0,67000.0,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.37312875927224964
24.0,68000.0,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.3676416523286422
25.0,69000.0,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.3623135896581209
25.0,200000.0,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.05999970000149999
26.0,188000.0,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.10638241285950607
26.0,200000.0,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.014999925000374998
25.0,69996.0,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.3571581639213109
22.0,14400.0,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.2777584889938199
24.0,70000.0,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.3571377551749261
24.0,14400.0,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.4166377334907298
24.0,56100.0,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.4456248551719221
25.0,66000.0,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.37878213966455054
26.0,66000.0,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.37878213966455054
25.0,14400.0,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.3732379695854455
25.0,72612.0,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.344290967182185
23.0,74000.0,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.3378332725233443
25.0,75000.0,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.3333288889481474
21.0,192000.0,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,0.10416612413477014
25.0,191000.0,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.05235574682855063
24.0,75000.0,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.3333288889481474
22.0,71000.0,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.35210771679272124
26.0,190000.0,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.1052626038810322
23.0,189996.0,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.12631778396500998
23.0,78000.0,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.32050871142677656
23.0,78504.0,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.31845105407298896
25.0,186000.0,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.05376315181101177
24.0,185000.0,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,N,2,0.1891881665504511
25.0,185000.0,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.08108064280733618
24.0,62050.0,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.4028943933216225
23.0,79416.0,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.3147940617248196
21.0,14400.0,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.43399763905284355
24.0,79631.0,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.3139441430580671
24.0,79632.0,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.31394020067057626
24.0,80000.0,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.31249609379882753
26.0,80000.0,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.31249609379882753
22.0,185000.0,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.13513440467889362
26.0,185000.0,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.027026880935778725
24.0,184992.0,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,0.11892341872395172
23.0,184000.0,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,0.013586882679985434
24.0,172000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,0.116278393730269
24.0,183000.0,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,0.10928902027857772
25.0,182952.0,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,0.08198827021147508
23.0,74004.0,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,0.33781501249915546
25.0,81000.0,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,0.3086381649609264
23.0,81600.0,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,0.3063687945000674
24.0,82000.0,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,0.3048743308008439
24.0,83000.0,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,0.30120119034710424
24.0,83000.0,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,0.30120119034710424
24.0,180000.0,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,0.09999944444753085
23.0,180000.0,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,0.15555469136282576
23.0,14400.0,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,0.2777584889938199
22.0,14400.0,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,0.14582320672175544
22.0,84500.0,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,0.2958544869291488
24.0,85000.0,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,0.2941141868919189
24.0,180000.0,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,0.07777734568141288
26.0,180000.0,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,0.0666662962983539
25.0,142800.0,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,0.07002752081568056
24.0,87000.0,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,0.2873530189308169
24.0,75000.0,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,0.3333288889481474
23.0,76000.0,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,0.32894304022315496
23.0,66215.0,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,0.37755225323184727
25.0,90000.0,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,0.27777469139231786
21.0,15000.0,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,0.41330577961469234
26.0,180000.0,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,0.1388881172882373
24.0,180000.0,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,0.11666601852211932
25.0,180000.0,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,0.11111049383058982
26.0,180000.0,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,0.05555524691529491
25.0,180000.0,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,0.05527747068071844
23.0,78000.0,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,0.32050871142677656
25.0,66300.0,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,0.37706821918221445
23.0,90000.0,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3,0.27777469139231786
24.0,79000.0,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4,0.31645169048493055
24.0,91800.0,RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,Y,3,0.2723281881460986
25.0,92000.0,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,N,3,0.2717361767806872
24.0,92000.0,RENT,1.0,VENTURE,C,25000,12.73,0,0.27,Y,4,0.2717361767806872
23.0,93600.0,RENT,3.0,VENTURE,D,25000,15.21,0,0.27,N,4,0.2670911635559449
23.0,15000.0,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,0.12,Y,3,0.11665888940737285
23.0,70550.0,RENT,3.0,MEDICAL,F,25000,19.04,1,0.3,Y,4,0.35435358818443397
25.0,83800.0,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,Y,3,0.298325795634897
26.0,175000.0,MORTGAGE,3.0,VENTURE,A,2600,8.9,0,0.01,N,4,0.014857057959668803
25.0,175000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,N,2,0.04571402449128862
23.0,175000.0,MORTGAGE,8.0,PERSONAL,B,21000,11.99,0,0.12,N,3,0.11999931428963263
